00000                    ^0┌──── ┌────┐ ┌────┐  │    │  │    │  │    /
00040                    ^1│     │    │ │    │  │    │  │    │  │   / 
00080                    ^2│     │    │ │    │  │    │  │    │  │  /  
000c0                    ^3│     │    │ │    │  ├────┤  │   /│  │_/   
00100                    ^4│     │    │ │    │  │    │  │  / │  │ \   
00140                    ^5│     │    │ │    │  │    │  │ /  │  │  \  
00180                    ^6│     │    │ │    │  │    │  │/   │  │   \ 
001c0                    ^7│     └────┘ │    │  │    │  │    │  │    \
00200                                                  ^0Версия 1.02
09e4e  Напиши ^6s^7  чтобы узнать отношение
09e73  Напиши ^6a^7  чтобы спросить чё-то
09e96  Напиши ^6d^7 чтобы пойти на дело
09eb7  ^0Притон\
09ec1  p
09ec3  ^2Ты угостил пацанов пивом. Понтовость улутшилась на 5.
09efb  ^6А нет у тебя пива.
09f10  ^2Ты занял 2 рубля на пиво. Понтовость уменьшилась на 2.
09f49  ^6Ты не можешь занять денег.
09f66  ^6Ты уже всю мелочь выгреб!
09f82  hp
09f85  s
09f87  ^4Твоя понтовость сейчас = #.
09fa5  ^0Да если чё мы за тебя впрягаемся.
09fc9  a
09fcb  ^0Тут у нас есть пара мест куда тебе стоит сходить
09ffe  ^2Ты узнал где находится качалка и где находятся барыги
0a036  d
0a038  ^0Давай быстрее..
0a04a  ^2Ты пришел воровать деньги
0a066  ^4Шухер менты!
0a075  ^6Пора валить!
0a084  ^2Ты смылся от ментов.
0a09b  ^2Ты наваровал денег
0a0b0  ^4Тебя мудака такого туда не пустят - поднимай понтовость
0a0ea  kl
0a0ed  ^6Тебе не стоит пока туда соваться
0a110  Ты пришел в клуб напиши  ^6w^7  чтобы уйти
0a13b   Здесь можно сыграть в карты (^6p^7 Минимальная ставка- 5р.)
0a178   1 -  ^
0a180  15^7  потусоваться на дискотеке(Ловкость +1)
0a1ad   2 -  ^
0a1b5  22^7  разузнать приемы мухлёжников(Удача +1)
0a1e2  ^0Клуб\
0a1ea  Ты поставил # рублей
0a1ff  ^2Ты выиграл # рублей 
0a216  ^4Ты проиграл # рублей
0a22d  ^6Ставки изменились. Теперь ставка - #
0a254  ^4Козёл! Да ты мухлевал!
0a26d  ^6Ты получаешь # качков опыта за победу в игре
0a29c  ^6Уноси ноги, пока не отобрали деньги другие канадидаты
0a2d4  ^6Не хватает денег - надо #.
0a2f1  ^2Ты прокачиваешь ловкость.
0a30d  ^2Ты прокачиваешь удачу.
0a326  ^6Ты пока что неузнал где в этом районе клуб
0a353  trn
0a357  Ты пришел в качалку напиши  ^6w^7  чтобы уйти
0a385  20^7  качаться гателями и шгангой(Сила +1)
0a3b0  20^7  качаться на тренажерах(Выносливость +1)
0a3de   3 -  ^
0a3e6  10^7  прокачать # качков опыта
0a405   4 -  ^
0a40d  30^7  купить зубную защиту боксёров(-75% что сломают челюсть)
0a44b   5 -  ^
0a453  20^7  прокачать пресс(Броня +1)
0a473  ^0Качалка\
0a47e  ^2Ты прокачиваешь силу.
0a496  ^2Ты прокачиваешь выносливость.
0a4b6  ^1Выносливость +1 
0a4c9  ^6Ты слишком крутой чтобы тренироваться здесь.
0a4f8  ^2Ты тренируешься.
0a50b  ^1 +# качков опыта 
0a51f  ^4А не хватает рубликов
0a537  ^2Ты купил защиту.
0a54a  ^6У тебя есть эта штучка.
0a564  ^4Не хватает рубликов
0a57a  ^2Ты прокачиваешь пресс.
0a593  ^1Броня +1
0a59e  ^6Ты максимально прокачал пресс для своего уровня
0a5d0  ^6Качай дальше в следующем районе
0a5f2  ^6Ты пока незнаешь где в этом районе качалка
0a61f  kos
0a623  ^4Ты не схавать колёса из-за сломаной челюсти.
0a652  ^2Колёса прибавляют #з. 
0a66b  ^2Здоровья:#/#. Осталось # косяков
0a68e  ^2Колёса прибавляют #з. Здоровья:#/#. Осталось # косякова
0a6c8  ^2Сила +2.
0a6d3  ^4У тебя нет косяков
0a6e8  ^6Ты неможешь схавать ещё один косяк.
0a70e  i
0a710  Напиши: ^6w^7    чтобы шататься по окрестностям - искать на свою жопу приключения
0a762  Напиши: ^6mar^7  чтобы идти на рынок
0a787  Напиши: ^6bmar^7 чтобы идти к барыгам
0a7ad  Напиши: ^6rep^7  чтобы идти к ветеринару
0a7d6  Напиши: ^6girl^7 чтобы завалиться к своей девчонке
0a809  Напиши: ^6pr^7   чтобы идти в местный притон гопоты
0a83d  Напиши: ^6kl^7   чтобы идти в клуб
0a860  Напиши: ^6trn^7  чтобы идти в качалку
0a886  Напиши: ^6s^7    чтобы посмотреть в лужу на свою уродскую рожу
0a8c5  Напиши: ^6sv^7   чтобы приглядеться к пинаемому мудаку
0a8fc  Напиши: ^6k^7    чтобы гасить мудака который тебе попался на дороге
0a940  Напиши: ^6v^7    чтобы позвать подкрепление
0a96c  Напиши: ^6kos^7  чтобы схавать косяк
0a991  Напиши: ^6h^7    чтобы выпить пиво (если не охото к ветеринару)
0a9d1  Напиши: ^6mh^7   чтобы набухаться до чёртиков
0a9ff  Напиши: ^6name^7 чтобы сменить погоняло
0aa27  Напиши: ^6e^7    если захочешь выйти
0aa4c  f
0aa4e  ^6Ты чё псих? мигом менты накроют!
0aa71  k
0aa73  ^6Чё машешь копытами? Ищи мудака которого будешь пинать!
0aaac  name
0aab1  ^2Звали тебя:^7 
0aac2  ^2А теперь будут:^7 
0aad7  Раз^6дол^4бай
0aae5  ^7 
0aae9  version
0aaf1  ^4Gopnik: ^7version 1.02 june,sept 2003
0ab19  help
0ab1e  exit
0ab23  ^6Блин не быть тебе нормальным пацаном
0ab4a  ^1А результат:

=== DS: enemy type / class names (DS:002E + 256*i) ===
 0  Дохляк
 1  Нефор
 2  Нарк
 3  Подтсан
 4  Отморозок
 5  Гопник
 6  Вор
 7  Беспредельщик
 8  Мент
 9  Маньячок
10  Ректор НГУ

=== DS: coolness titles by level (DS:0B42 + 256*level) ===
 0  Опущеный
 1  Полное ЧМО
 2  ЧМО
 3  Частично не ЧМО
 4  Чё-то не понятное
 5  Чё-то отдалённо похожее на не ЧМО
 6  Вроде не ЧМО
 7  Не ЧМО
 8  Совсем не ЧМО
 9  Похожий на Чувака
10  Чувак
11  Нормальный Чувак
12  Да нормальный такой Чувак
13  Довольно понтовый Чувак
14  Понтовый Чувак
15  Вполне понтовый Чувак
16  Очень понтовый Чувак
17  Чувак отдалённо пожоий на Пацана
18  Похожий на Пацана
19  Сильно похожий на Пацана
20  Вроде Пацан
21  Пацан
22  Пацан покруче
23  Понтоватый Пацан
24  Понтовый Пацан
25  Очень понтовый Пацан
26  Крутой Пацан
27  Очень крутой Пацан
28  Пацан метящий в реальные
29  Почти реальный Пацан
30  Довольно реальный Пацан
31  Реальный Пацан
32  Пацан немного более реальный
33  Пацан ещё реальнее
34  Очень реальный Пацан
35  Офигенно реальный Пацан
36  Да типа ваще реальный Пацан
37  Смотри не лопни от реальности, Реальный Пацан
38  Крутой Реальный Пацан
39  Очень крутой Реальный Пацан
40  Самый Крутой Реальный Пацан
41  Пацан, который завалил Проректора СУНЦа
42  Пацан, который всех опрокинул
